claim_id,snapshot_id,item_id,source_field,pre_provenance_empty,pre_recorded_at_null,post_gate_disposition,evidence_tier,external_product_truth_available
c000001,s000001,i000001,name,true,true,grounded,identity_unique,true
c000002,s000001,i000001,brand,true,true,grounded,identity_unique,true
c000003,s000001,i000001,effective_price,true,true,grounded,clock_backed,true
c000004,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000005,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000006,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000007,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000008,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000009,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000010,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000011,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000012,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000013,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000014,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000015,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000016,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000017,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000018,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000019,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000020,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000021,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000022,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000023,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000024,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000025,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000026,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000027,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000028,s000001,i000001,specs,true,true,caveat,governed_unclocked_spec,true
c000029,s000001,i000001,sku_code,true,true,grounded,identity_unique,true
c000030,s000001,i000001,region_code,true,true,grounded,clock_backed,true
c000031,s000001,i000001,availability_status,true,true,grounded,clock_backed,true
c000032,s000001,i000002,name,true,true,grounded,identity_unique,false
c000033,s000001,i000002,brand,true,true,grounded,identity_unique,false
c000034,s000001,i000002,effective_price,true,true,grounded,clock_backed,false
c000035,s000001,i000002,specs,true,true,caveat,governed_unclocked_spec,false
c000036,s000001,i000002,specs,true,true,caveat,governed_unclocked_spec,false
c000037,s000001,i000002,specs,true,true,caveat,governed_unclocked_spec,false
c000038,s000001,i000002,specs,true,true,caveat,governed_unclocked_spec,false
c000039,s000001,i000002,specs,true,true,caveat,governed_unclocked_spec,false
