source_field,surfaced_claims
specs,79770
name,4162
brand,4162
effective_price,4162
sku_code,4162
region_code,4162
availability_status,4162
active_profile_context,3016
fit_profile.scenario_codes,2111
fit_profile.attribute_codes,2111
decision_state,2111
ranking.score_breakdown,2111
main_image,2101
ranking.profile_debug,1776
category,1240
conversation_understanding,430
sku.variant_specs,3
sku.variant_specs.source_image,2
sku.variant_specs.source_sku_item_id,2
sku.variant_specs.color,2
sku.variant_specs.desktop_color,1
sku.variant_specs.desktop_finish,1
