snapshot_id,rank_score_consistent
s000001,false
s000002,true
s000003,true
s000004,true
s000005,true
s000006,true
s000007,true
s000008,true
s000009,true
s000010,true
s000011,true
s000012,true
s000013,true
s000014,true
s000015,true
s000016,true
s000017,true
s000018,true
s000019,false
s000020,true
s000021,true
s000022,true
s000023,true
s000024,true
s000025,true
s000026,true
s000027,false
s000028,true
s000029,true
s000030,true
s000031,false
s000032,true
s000033,true
s000034,true
s000035,true
s000036,true
s000037,true
s000038,true
s000039,false
s000040,false
s000041,true
s000042,false
s000043,false
s000044,true
s000045,true
s000046,true
s000047,true
s000048,true
s000049,true
s000050,true
s000051,true
s000052,false
s000053,false
s000054,true
s000055,true
s000056,true
s000057,true
s000058,true
s000059,true
s000060,true
s000061,false
s000062,false
s000063,false
s000064,true
s000065,true
s000066,true
s000067,false
s000068,false
s000069,false
s000070,true
s000071,false
s000072,true
s000073,false
s000074,false
s000075,true
s000076,false
s000077,false
s000078,true
s000079,false
s000080,false
s000081,false
s000082,false
s000083,false
s000084,false
s000085,false
s000086,true
s000087,true
s000088,true
s000089,true
s000090,true
s000091,true
s000092,false
s000093,true
s000094,true
s000095,false
s000096,false
s000097,true
s000098,true
s000099,true
s000100,true
s000101,true
s000102,true
s000103,false
s000104,false
s000105,false
s000106,false
s000107,false
s000108,false
s000109,false
s000110,false
s000111,true
s000112,true
s000113,true
s000114,false
s000115,false
s000116,false
s000117,false
s000118,true
s000119,true
s000120,false
s000121,true
s000122,false
s000123,false
s000124,false
s000125,false
s000126,false
s000127,true
s000128,true
s000129,true
s000130,true
s000131,true
s000132,true
s000133,true
s000134,false
s000135,false
s000136,true
s000137,true
s000138,true
s000139,true
s000140,true
s000141,true
s000142,false
s000143,false
s000144,false
s000145,false
s000146,true
s000147,false
s000148,false
s000149,false
s000150,false
s000151,false
s000152,true
s000153,true
s000154,true
s000155,false
s000156,false
s000157,false
s000158,true
s000159,false
s000160,true
s000161,false
s000162,false
s000163,false
s000164,true
s000165,true
s000166,true
s000167,false
s000168,false
s000169,false
s000170,true
s000171,true
s000172,false
s000173,true
s000174,true
s000175,false
s000176,true
s000177,true
s000178,true
s000179,true
s000180,true
s000181,true
s000182,false
s000183,false
s000184,true
s000185,true
s000186,true
s000187,true
s000188,true
s000189,false
s000190,true
s000191,false
s000192,true
s000193,false
s000194,false
s000195,false
s000196,false
s000197,false
s000198,false
s000199,false
s000200,true
s000201,true
s000202,true
s000203,false
s000204,false
s000205,false
s000206,false
s000207,false
s000208,false
s000209,true
s000210,false
s000211,false
s000212,false
s000213,false
s000214,false
s000215,false
s000216,false
s000217,false
s000218,true
s000219,false
s000220,true
s000221,true
s000222,false
s000223,false
s000224,true
s000225,true
s000226,true
s000227,true
s000228,false
s000229,true
s000230,true
s000231,true
